"Date","Open","High","Low","Close","Volume"
"04/02/2026","76.73","79.1","76.54","79.02","12,634,890"
"04/01/2026","78","79.12","77.81","77.93","21,309,020"
"03/31/2026","77.89","78.19","76.31","77.59","25,105,710"
"03/30/2026","79.86","80.39","76.59","77.04","24,306,310"
"03/27/2026","81.975","82.12","79.4","79.92","20,557,430"
"03/26/2026","82.07","83.11","81.81","82.16","26,649,620"
"03/25/2026","81","82.68","80.89","81.83","23,146,030"
"03/24/2026","78.37","80.935","78.13","80.86","23,528,000"
"03/23/2026","78.64","79.51","78.42","78.82","20,072,230"
"03/20/2026","78.445","79.04","76.71","77.65","90,380,830"
"03/19/2026","77.55","78.88","76.92","78.51","17,519,550"
"03/18/2026","79.74","80.0336","77.525","77.6","18,827,580"
"03/17/2026","79.18","80.05","78.82","79.27","16,210,460"
"03/16/2026","78.92","79.17","78.19","78.9","14,715,060"
"03/13/2026","78.07","79.26","77.935","78.33","19,080,390"
"03/12/2026","76.95","78.13","76.95","77.74","19,969,500"
"03/11/2026","77.635","78.495","77.12","78.1","14,727,410"
"03/10/2026","77.14","79.01","77.1","77.7","24,836,040"
"03/09/2026","77.18","77.56","75.2007","76.21","32,855,940"
"03/06/2026","78.515","79.515","78.35","78.64","20,621,220"
"03/05/2026","79.99","81.165","79.05","80.01","26,844,850"
"03/04/2026","79.2","80.96","78.53","80.87","20,388,110"
"03/03/2026","78.38","79.44","77.57","78.96","17,521,060"
"03/02/2026","78.745","79.515","77.69","79.42","18,540,350"
"02/27/2026","77.65","79.53","77.07","79.46","27,498,010"
"02/26/2026","78.94","79.3396","77.72","78.1","19,608,020"
"02/25/2026","78.45","79.42","78.26","79.12","22,721,820"
"02/24/2026","77.74","78.71","77.47","78.14","19,485,070"
"02/23/2026","78.85","79.48","76.94","77.74","24,485,910"
"02/20/2026","78.13","79.33","78.13","79.2","29,461,610"
"02/19/2026","77.99","79.155","77.87","78.56","18,443,220"
"02/18/2026","76.55","78.6","76.49","78.18","20,648,810"
"02/17/2026","76.95","77.565","76.475","76.85","24,792,720"
"02/13/2026","74.375","77.3","73.42","76.85","42,886,420"
"02/12/2026","79.61","80.37","74.085","75","68,098,560"
"02/11/2026","86.06","87.14","85.125","85.54","34,455,760"
"02/10/2026","86.97","88.185","86.13","86.29","32,113,840"
"02/09/2026","84.73","87.245","84.31","86.78","22,908,420"
"02/06/2026","83.555","85","82.805","84.82","23,936,580"
"02/05/2026","80.86","83.305","80.81","82.36","24,236,540"
"02/04/2026","83.98","84.24","81.14","81.16","39,765,730"
"02/03/2026","80.81","83.25","80.81","83.11","34,962,140"
"02/02/2026","78.12","81.155","77.995","80.64","28,238,590"
"01/30/2026","78.09","78.795","77.72","78.32","26,458,380"
"01/29/2026","79.105","79.476","77.625","78.43","22,642,940"
"01/28/2026","78.93","79.04","78.015","78.96","14,022,930"
"01/27/2026","77.19","78.91","77.05","78.68","17,756,730"
"01/26/2026","76.47","77.415","75.64","77.01","24,714,400"
"01/23/2026","73.95","75.07","73.71","74.59","13,125,530"
"01/22/2026","74.105","74.78","73.88","74.33","12,879,820"
"01/21/2026","73.945","74.36","73.005","73.69","18,210,170"
"01/20/2026","74.52","74.87","73.21","73.35","23,999,670"
"01/16/2026","75.64","75.99","74.6","75.19","25,743,340"
"01/15/2026","75.22","76.05","74.91","75.25","18,213,020"
"01/14/2026","74.93","75.1099","73.82","74.41","17,801,260"
"01/13/2026","73.99","75.5","73.86","75.47","17,809,920"
"01/12/2026","72.91","74.05","72.8","74.01","20,985,710"
